date,imdbId,title,originalTitle,medium,place,with,rewatch,note,VF,comment,year,runtime,country,directors,actors,genres,femaleDirector
2022-01-01,tt7014006,Dernière année,Eighth Grade,Piratage,Paris,,,***,,,2018,94,États-Unis,Bo Burnham,"Elsie Fisher,Josh Hamilton,Emily Robinson,Jake Ryan,Daniel Zolghadri,Fred Hechinger,Imani Lewis,Luke Prael,Catherine Oliviere,Nora Mullins,Gerald W. Jones,Missy Yager,Shacha Temirov,Greg Crowe,Thomas J O'Reilly,Frank Deal,J. Tucker Smith,Tiffany Grossfeld,Trinity Goscinsky-Lynch,Natalie Carter,Kevin R. Free,Deborah Unger,Tristan Wheeler,Kylie Seaman,Dylan Vonderhorst,Luke Mulligan,Louisa Rose Guarasci,Brenna Parker,William Koo,Marguerite Stimpson,Andrew Geher,Faith Kelly,Jalesia Martinez,Blair Seaman,Phoebe Amirault,Veronica Bikowicz,Castor Feinberg,Molly Forman,Vivek Nickolas Mathews,Olivia Galligan,Kendall Seaman,Nina Victoria Mathews,Kaileen Quinones,V. Rocco Russell","Comédie,Drame",
2022-01-01,tt13651628,Belle,竜とそばかすの姫,Cinéma Gaumont Parnasse,Paris,,,***,,,2021,121,Japon,Mamoru Hosoda,"Kaho Nakamura,Takeru Satoh,Tina Tamashiro,Shota Sometani,Lilas Ikuta,Ryo Narita,Toshiyuki Morikawa,Kenjiro Tsuda,Mami Koyama,Mamoru Miyano,Sachio Nakao,Fuyumi Sakamoto,Ryoko Moriyama,Yoshimi Iwasaki,Michiko Shimizu,Koji Yakusho,ermhoi,Ken Ishiguro","Animation,Drame,Science-Fiction,Musique",
2022-01-04,tt6856242,The King’s Man : Première Mission,The King's Man,Cinéma Gaumont Parnasse,Paris,,,**,,,2021,131,Royaume-Uni,Matthew Vaughn,"Ralph Fiennes,Harris Dickinson,Gemma Arterton,Rhys Ifans,Djimon Hounsou,Matthew Goode,Tom Hollander,Daniel Brühl,Charles Dance,Aaron Taylor-Johnson,Stanley Tucci,Robert Aramayo,Ross Anderson,Alexandra Maria Lara,Neil Jackson,Alison Steadman,Martin Razpopov,Olivier Richters,Branka Katić,Maja Simonsen,Stevee Davies,Connor Calland,Alexander Shaw,Bevan Viljoen,Shaun Scott,Andrew Bridgmont,Rosie Goddard,Valerie Pachner,Joel Basman,Todd Boyce,Ron Cook,Barbara Drennan,August Diehl,Nigel Lister,Ian Kelly,David Calvitto,Emun Elliott,David Kross,Katarina Martin,Kya Garwood,Constantine Gregory,Hal Fowler,Renars Latkovskis,Jack Cunningham-Nuttall,Albert Giannitelli,Chloé Booyens,Dora Davis","Action,Aventure,Thriller,Guerre",
2022-01-08,tt8356942,355,The 355,Cinéma Gaumont Parnasse,Paris,"Théo,Damien",,*,,,2022,124,États-Unis,Simon Kinberg,"Jessica Chastain,Lupita Nyong'o,Penélope Cruz,Diane Kruger,Fan Bingbing,Sebastian Stan,Edgar Ramírez,Jason Flemyng,Sylvester Groth,John Douglas Thompson,Jason Wong,Leo Staar,Raphael Acloque,Pablo Scola,Marcello Cruz,Hiten Patel,Evie Wray,Toby Sauerback,Francisco Labbe,Waleed Elgadi,Martyn Mayger,Nina Kumar,Atul Sharma,Alexis Barbosa,Michelle Thomas,Paul O'Kelly,Amanda Rabinowitz,Sam Shoubber,Maurice Sardison,David Olawale Ayinde,Marta Svetek,Emilio Insolera,Steve Saunders,Mick Slaney,Oleg Kricunova,Yoon C. Joyce,Jag Patel,Emily Ng,Bodo Friesecke,Michael Haydon,Amra Mallassi,Metin Hassan,Dee Pearce,Keith Lomas,Nicholas Blatt,Mariia Legun,David Yu,Gino Picciano,Patrick Loh,Toni Beard,Peter Trevor,Al Clark,Graham Burton,Chris Grifoni,Jeremy Oliver,Lee Simmons,Yun Lai,Adam Strawford,Rina Yadav,Zsuzsanna Biro,Graham J. Reeves,Indy Singh,Lee Wilkinson,Maryam Hashemi,Eddie Arnold","Action,Thriller",
2022-01-09,tt11271038,Licorice Pizza,Licorice Pizza,Cinéma Gaumont Convention,Paris,,,***,,,2022,134,États-Unis,Paul Thomas Anderson,"Alana Haim,Cooper Hoffman,Sean Penn,Tom Waits,Bradley Cooper,Benny Safdie,Skyler Gisondo,Mary Elizabeth Ellis,John Michael Higgins,John C. Reilly,Christine Ebersole,Harriet Sansom Harris,Joseph Cross,Danielle Haim,Este Haim,Moti Haim,Donna Haim,Maya Rudolph,Ryan Heffington,Nate Mann,Isabelle Kusman,Destry Allyn Spielberg,George DiCaprio,Iyana Halley,Ray Chase,Emma Dumont,Yumi Mizui,Megumi Anjo,Emily Althaus,Tim Conway Jr.,Griff Giacchino,James Kelley,Will Angarola,Milo Herschlag,Craig Stark,Fatimah Hassan,Bottara Angele,Grace Kennedy-Piehl,Louis Delavenne,Joann Coleman,Anthony Molinari,Deana Molle',Joe Don Harris,Rogelio Camarillo,Natalia Becerril,Nathan M. Hadden,Mary Eileen O'Donnell,Elton McCrudden,Patrick Salway,Lakin Valdez,Zachary Chicos,Brian Kehew,Devon Knopp,Tess Rianne Sullivan,Thomas John Rudolph,Collin Sutton,Ray Nicholson,Eloy Perez,Mark Kirksey,Joshua Carl Allen,Sasha Spielberg,Gerren Hall,Steven Herrera,Paige Locke,Charlotte Townsend,Zoe McLane,Jeff Willy,Brandon Koen,Richard B. Larimore,Pearl Anderson,Karen Kilgariff","Drame,Comédie",
2022-01-12,tt1343092,Gatsby le Magnifique,The Great Gatsby,Piratage,Paris,,,***,,,2013,142,États-Unis,Baz Luhrmann,"Leonardo DiCaprio,Tobey Maguire,Carey Mulligan,Joel Edgerton,Elizabeth Debicki,Isla Fisher,Jason Clarke,Amitabh Bachchan,Callan McAuliffe,Adelaide Clemens,Steve Bisley,Richard Carter,Jack Thompson,Vince Colosimo,Max Cullen,Mal Day,Charlize Skinner,Brendan Maclean,Kate Mulvany,Kahlia Greksa,Garrett William Fountain,David Furlong,Daniel Gill,Iota,Barry Otto,John O'Connell,Ben McIvor,Brian Rooney,Gemma Ward,Goran D. Kleut,Denning Isles,Ryan Cooper,Kate Rutherford,Heather Mitchell,Nick Tate","Drame,Romance",
2022-01-16,tt11310608,En attendant Bojangles,En attendant Bojangles,Cinéma Gaumont Parnasse,Paris,Théo,,***,,,2022,124,France,Régis Roinsard,"Virginie Efira,Romain Duris,Juliette Blanche,Mira Rogliano,Marie Fontannaz,Orianne Daudin,Rose Harlean,Solan Machado-Graner,Valentine Montazel,Pénélope Montazel,Rodrigue Faucin,Lancelot Vandaele Nedelec,Milo Machado-Graner,Francois Raffenaud,Bénédicte Charton,Morgane Lombard,Grégory Gadebois","Drame,Romance",
2022-01-16,tt0117571,Scream,Scream,Piratage,Paris,,,***,,,1996,111,États-Unis,Wes Craven,"David Arquette,Neve Campbell,Courteney Cox,Matthew Lillard,Rose McGowan,Skeet Ulrich,Jamie Kennedy,W. Earl Brown,Joseph Whipp,Liev Schreiber,Drew Barrymore,Roger L. Jackson,Kevin Patrick Walls,David Booth,Carla Hatley,Lawrence Hecht,Lois Saunders,Lisa Beach,Tony Kilbert,C.W. Morgan,Frances Lee McCain,Troy Bishop,Ryan Kennedy,Leonora Scelfo,Nancy Anne Ridder,Lisa Canning,Bonnie Wood,Aurora Draper,Kenny Kwong,Justin Sullivan,Kurtis Bedford,Angela Miller,Henry Winkler,Linda Blair,Cabran E. Chamberlain,Andrew Christiansen,Wes Craven,Matt McDonald,Lynn McRee,Carter Raff,Freddy W. Smith","Crime,Horreur,Mystère",
2022-01-18,tt9812474,L'Agneau,Dýrið,Cinéma mk2 Parnasse,Paris,,,***,,,2021,106,Islande,Valdimar Jóhannsson,"Noomi Rapace,Hilmir Snær Guðnason,Björn Hlynur Haraldsson,Ingvar E. Sigurðsson,Ester Bibi,Sigurður Elvar Viðarson,Theodór Ingi Ólafsson,Arnþruður Dögg Sigurðardóttir","Drame,Mystère,Fantastique,Horreur",
2022-01-20,tt9738784,Les Leçons persanes,Persian Lessons,Cinéma Gaumont Parnasse,Paris,"Théo,Pauline",,***,,,2022,127,Biélorussie,Vadim Perelman,"Nahuel Pérez Biscayart,Lars Eidinger,Jonas Nay,Leonie Benesch,Alexander Beyer,David Schütter,Luisa-Céline Gaffron,Andreas Hofer,Giuseppe Schillaci,Antonin Chalon,Lola Bessis,Mehdi Rahim-Silvioli,Sofya Gershevich,Nico Ehrenteit,Gareth McGregor,Marcus Calvin,Peter Beck,Felix von Bredow,Oleg Veber,Svetlana Anikey,Anastasia Gudei,Veronika Buslaeva,Elena Girenok,Serge Barbagallo,Pascal Elso,Ingo Hülsmann,Elena Stetsenko,Gennady Fomin,Anton Zhukov,Maximilian Anthony Hirschle","Guerre,Drame",
